Title,Questions Name,Questions Type,Answers
Handin,,,
,I completed up through this step,single,
,,,wrote expression
,,,tested it by running
,,,SPD handin
,,,looked at grading report
,,,
HtDF,,,
,I completed up through this recipe step,single,
,,,signature
,,,purpose
,,,stub
,,,tests (at least 2)
,,,template origin (plan)
,,,"template, copied, renamed, add parameters"
,,,fill in
,,,test and debug until correct
,,,
MCQ (single),,,
,Choose answer,single,
,,,A
,,,B
,,,C
,,,D
,,,E
,,,F
,,,
MCQ (multiple),,,
,Choose answer,multiple,
,,,A
,,,B
,,,C
,,,D
,,,E
,,,F
,,,
Music,,,
,Todayâ€™s music was,single,
,,,made me want to dance
,,,made me mute my laptop
,,,made me want to die
,,,seriously how old is this guy